date,industrial_production,capacity_utilization,real_GDP_growth_rate,unemployment_rate,nonfarm_payroll,laborforce_participation,civilian_labor_force,CPI,core_CPI,PPI,federal_funds_rate,real_M1_money_supply_growth,real_M2_money_supply_growth,10Y_treasury_yield,5Y_treasury_yield,7Y_treasury_yield,30Y_treasury_yield,3Y_treasury_yield,2Y_treasury_yield,1Y_treasury_yield,consumer_sentiment,personal_consumption_expenditures,real_disposable_personal_income,total_consumer_credit,trade_balance,building_permits,housing_start,median_sale_price_new_houses,nonfarm_business_sector_real_output_per_hour,recession,gold_price,SP500_price,DJI_price
1989-07-01,-0.5960999999999999,82.7913,1.7892827342925683,5.2,0.0003887161310611731,0.0,123967.0,0.4000000000000057,0.39999999999997726,-0.10000000000000853,-0.28999999999999915,0.005543751708526834,0.008058856502556111,-0.2599999999999998,-0.4599999999999991,-0.3700000000000001,-0.1899999999999995,-0.5399999999999991,-0.5899999999999999,-0.5499999999999998,1.4000000000000057,8.184708991992881,0.0034898602592132733,0.003914809871440994,13.084999999999994,-39.0,1427.0,-0.056966824606677235,0.004645079512525463,0.0,7.439999999999998,0.08467636786112198,0.0865515831508965
1989-08-01,0.5951000000000022,83.4055,5.745665073895388,5.2,0.00047180939775870456,0.0,124166.0,0.0,0.30000000000001137,-0.7999999999999972,-0.25,0.002054971182961829,0.007181593835154487,0.08999999999999986,0.2599999999999998,0.16999999999999904,0.03999999999999915,0.3000000000000007,0.3200000000000003,0.29000000000000004,-2.4000000000000057,8.194395036941843,0.0026447371740889736,0.0033648780465078687,0.0,51.0,1332.0,0.05778082546562402,0.0,0.0,-9.900000000000034,0.015197425111697527,0.028386861030438304
1989-09-01,-0.20530000000000115,82.9302,-0.3868700784383105,5.3,0.002300348838053523,-0.09999999999999432,123944.0,0.29999999999999716,0.4000000000000057,0.4000000000000057,0.02999999999999936,0.0020507569350769472,0.005870065016010173,0.08000000000000007,0.08000000000000007,0.120000000000001,0.030000000000001137,0.129999999999999,0.1399999999999988,0.040000000000000924,6.200000000000003,8.194754029006452,0.0030180400022015164,0.003774711550811105,0.0,-20.0,1279.0,-0.0238792737899427,0.0,0.0,-3.3899999999999864,-0.006566761642005758,-0.016372101707914588
1989-10-01,-0.07799999999999585,82.6235,-1.6195585131120669,5.3,0.000986880109609345,0.09999999999999432,124211.0,0.6000000000000085,0.6999999999999886,0.3999999999999915,-0.17999999999999972,0.007144710158023315,0.006960360649580721,-0.17999999999999972,-0.20000000000000018,-0.20000000000000107,-0.15000000000000036,-0.2400000000000002,-0.29999999999999893,-0.23000000000000043,-1.8999999999999915,8.197979171351294,0.004972548909606189,0.00475136358885031,-7.689999999999998,51.0,1410.0,0.02469261259037303,0.00010452779577807547,0.0,5.1299999999999955,-0.025237017411771312,-0.0178876610405716
1989-11-01,0.20669999999999789,82.6971,1.7257869271054287,5.4,0.002541110248373002,0.09999999999999432,124637.0,0.5,0.5,-0.09999999999999432,-0.28999999999999915,0.001651318253933276,0.00614657631930271,-0.13999999999999968,-0.16000000000000014,-0.16999999999999904,-0.09999999999999964,-0.21999999999999975,-0.1800000000000006,-0.22000000000000064,-3.0,8.200645143329789,0.0010083469567625514,0.006030568656825608,0.0,-21.0,1351.0,0.016129381929879116,0.0,0.0,27.379999999999995,0.01631737835850533,0.02286999244202459
1989-12-01,0.35069999999999624,82.9629,3.541634912209419,5.4,0.0007721014410080329,-0.09999999999999432,124497.0,0.3999999999999915,0.5,0.29999999999999716,-0.10000000000000142,0.00632593202671039,0.006109026603548173,-0.03000000000000025,-0.05999999999999961,-0.010000000000000675,0.0,-0.03000000000000025,-0.019999999999999574,-0.04999999999999982,-0.4000000000000057,8.211808684718116,9.797952235679475e-05,0.005445031216554597,0.0,78.0,1251.0,0.0015987213637007613,0.0,0.0,15.129999999999995,0.021161784827871344,0.017192568500486338
1990-01-01,-0.323599999999999,82.328,4.971724696254907,5.4,0.0033022705579881517,0.29999999999999716,125833.0,1.2000000000000028,0.5,1.9000000000000057,-0.21999999999999886,0.003148022495237157,0.004525825458204125,0.370000000000001,0.3699999999999992,0.34999999999999964,0.35999999999999943,0.3600000000000012,0.3099999999999996,0.20000000000000018,2.5,8.224351162590828,0.005958669886647172,0.003897043570503911,-5.771000000000001,326.0,1551.0,-0.0015987213637007613,0.009224965714600408,0.0,0.7200000000000273,-0.07123890393630194,-0.060897523354028316
1990-02-01,0.559899999999999,82.8759,5.964792406540978,5.3,0.002195470895401286,-0.09999999999999432,125710.0,0.5,0.5999999999999943,-0.5,0.009999999999999787,0.003388770108372796,0.003907978500272691,0.2599999999999998,0.3000000000000007,0.28000000000000114,0.2400000000000002,0.2599999999999998,0.27999999999999936,0.1899999999999995,-3.5,8.223680822435146,0.0022097613695013507,0.0013258228334720457,0.0,-419.0,1437.0,0.015085637418042808,0.0,0.0,6.699999999999989,0.008472062776634814,0.014071323575525874
1990-03-01,0.29650000000000176,83.0757,3.469564263615834,5.2,0.0018623679359066614,0.0,125801.0,0.5999999999999943,0.8000000000000114,-0.20000000000000284,0.03999999999999915,0.00425106916764495,0.003422671452383952,0.11999999999999922,0.17999999999999972,0.16999999999999993,0.0600000000000005,0.2400000000000002,0.26000000000000156,0.2400000000000002,1.7999999999999972,8.230816932685164,0.00038863520136089846,-3.1423681569719975e-05,0.0,-83.0,1289.0,-0.060920173761838115,0.0,0.0,-23.75,0.02381773797614173,0.029980912512802327
1990-04-01,-0.14049999999999585,82.7018,-1.333623024104336,5.4,0.0003100577279351313,-0.10000000000000853,125649.0,0.30000000000001137,0.5,-0.10000000000000853,-0.019999999999999574,0.005722832239947628,0.003598420579532302,0.1999999999999993,0.16999999999999993,0.16000000000000014,0.1999999999999993,0.14999999999999858,0.08999999999999986,0.05000000000000071,2.6000000000000085,8.234830280442056,0.006542434899799332,-1.3521168238384007e-06,19.703000000000003,-110.0,1248.0,0.08505524949707954,0.006914729032289735,0.0,-18.819999999999993,-0.027137493552534586,-0.01881124901542286
